,name,category_groups_list,country_code,primary_role,homepage_url
36908,Echovox,"Internet Services,Mobile,Other",CHE,company,http://www.echovox.com
37023,Bluesign,"Information Technology,Manufacturing,Other,Transportation",CHE,company,http://www.bluesign.com
37091,Dating Factory,"Advertising,Apps,Internet Services,Sales and Marketing,Software",CHE,company,http://datingfactory.com
37299,PresseTrends.com,"Content and Publishing,Internet Services,Media and Entertainment",CHE,company,http://www.pressetrends.com
37697,ABB,"Energy,Hardware,Manufacturing,Natural Resources,Science and Engineering,Software,Transportation",CHE,company,http://www.abb.com
37802,Supertext AG,"Media and Entertainment,Sales and Marketing,Software",CHE,company,http://www.supertext.ch/en
37874,Cambridge Technology Partners,"Financial Services,Lending and Investments,Professional Services",CHE,company,http://www.ctp.com
37956,Private World,Sales and Marketing,CHE,company,http://www.privateworld.ch
37999,Memonic,"Data and Analytics,Information Technology,Media and Entertainment,Software,Video",CHE,company,http://www.memonic.com
38092,StudiMedia,Sales and Marketing,CHE,company,http://www.studimedia.ch
38157,Metaxis,"Advertising,Sales and Marketing",CHE,company,
38158,Ventoo,"Internet Services,Mobile,Software",CHE,company,http://www.ventoo.ch
38387,SITA,"Hardware,Information Technology,Science and Engineering,Transportation",CHE,company,http://www.sita.aero/
38704,Datamars,"Hardware,Software",CHE,company,http://www.datamars.com
38865,Lute Technologies AG,Travel and Tourism,CHE,company,http://www.lute-tec.com
39085,Infoniqa Group,Software,CHE,company,http://www.infoniqa.com
39099,Solosso,Commerce and Shopping,CHE,company,http://www.solosso.com
39922,car4you,"Commerce and Shopping,Internet Services,Transportation",CHE,company,http://www.car4you.ch
40027,LetsBuyIt.com,"Commerce and Shopping,Internet Services",CHE,company,http://www.letsbuyit.com
40197,eWise,"Financial Services,Lending and Investments,Software",CHE,company,http://www.ewise.com
40353,Debiotech,"Biotechnology,Health Care,Science and Engineering",CHE,company,http://www.debiotech.com
40362,Living PlanIT SA,"Artificial Intelligence,Consumer Electronics,Data and Analytics,Hardware,Internet Services,Other,Real Estate,Software",CHE,company,http://living-planit.com
40456,SECUDE International,"Information Technology,Privacy and Security,Professional Services,Software",CHE,company,http://www.secude.com
40486,SpinX,"Biotechnology,Hardware,Health Care,Science and Engineering,Software",CHE,company,http://www.spinx-technologies.com/
40732,NanoPowers,"Biotechnology,Health Care,Science and Engineering",CHE,company,http://www.nanopowers.ch
40991,Biocartis,"Biotechnology,Health Care,Science and Engineering",CHE,company,http://www.biocartis.com
41046,R.Ø.S.A.,Software,CHE,company,http://www.rosa.com
41112,Q-11 Autoteile,"Commerce and Shopping,Consumer Goods,Internet Services,Other,Transportation",CHE,company,http://www.q11-shop.de
41159,Redbiotec,"Biotechnology,Health Care,Science and Engineering",CHE,company,http://www.redbiotec.ch
